,TEAM_NAME,WinRate,3P%,2P%,3P_ratio,2P_ratio
0,Atlanta Hawks,0.15853658536585366,0.31243576567317577,0.4628882260045622,0.14583333333333334,0.8541666666666666
1,Boston Celtics,0.5487804878048781,0.3490415335463259,0.4961019205172086,0.19228997081861465,0.8077100291813853
2,Charlotte Bobcats,0.21951219512195122,0.36322360953461974,0.4417865506858481,0.1284443796471789,0.8715556203528211
3,Chicago Bulls,0.573170731707317,0.35659455687369157,0.4531886024423338,0.21738470873786409,0.7826152912621359
4,Cleveland Cavaliers,0.5121951219512195,0.33185840707964603,0.46515649316963514,0.13518767758337072,0.8648123224166293
5,Dallas Mavericks,0.7073170731707317,0.36370777690494893,0.4789590254706534,0.19025556717979375,0.8097444328202063
6,Denver Nuggets,0.5975609756097561,0.3404255319148936,0.47894273127753306,0.1421012849584278,0.8578987150415722
7,Detroit Pistons,0.6585365853658537,0.34472934472934474,0.46348733233979134,0.16399314748481544,0.8360068525151846
8,Golden State Warriors,0.4146341463414634,0.35174746335963925,0.4567901234567901,0.25202443528910357,0.7479755647108964
9,Houston Rockets,0.6219512195121951,0.3635765943458251,0.46815026541445487,0.23695279638572986,0.7630472036142701
10,Indiana Pacers,0.5365853658536586,0.3441269841269841,0.4627775359164127,0.2553088020748906,0.7446911979251094
11,Los Angeles Clippers,0.45121951219512196,0.3452914798206278,0.47253904193718194,0.10505653266331658,0.8949434673366834
12,Los Angeles Lakers,0.4146341463414634,0.3552123552123552,0.4674003322259136,0.2734952481520591,0.7265047518479408
13,Memphis Grizzlies,0.5487804878048781,0.3573351278600269,0.4746081504702194,0.23696380162653485,0.7630361983734651
14,Miami Heat,0.7195121951219512,0.376984126984127,0.5133124510571653,0.1978643216080402,0.8021356783919598
15,Milwaukee Bucks,0.36585365853658536,0.35135135135135137,0.4666666666666667,0.1405775075987842,0.8594224924012158
16,Minnesota Timberwolves,0.5365853658536586,0.34497816593886466,0.48322392414296134,0.1727259013425856,0.8272740986574144
17,New Jersey Nets,0.5121951219512195,0.36159600997506236,0.44440184049079756,0.18741236952796386,0.8125876304720362
18,New Orleans Hornets,0.21951219512195122,0.31534954407294835,0.4395038167938931,0.20073215375228798,0.799267846247712
19,New York Knicks,0.4024390243902439,0.3556451612903226,0.47340921813771225,0.1879072586755569,0.8120927413244431
20,Orlando Magic,0.43902439024390244,0.34934497816593885,0.4709352767655735,0.1371462793831412,0.8628537206168588
21,Philadelphia 76ers,0.524390243902439,0.3475567790777701,0.46204807874313836,0.21570665083135393,0.7842933491686461
22,Phoenix Suns,0.7560975609756098,0.3928923988153998,0.5118189102564102,0.28868623539469934,0.7113137646053006
23,Portland Trail Blazers,0.32926829268292684,0.36175710594315247,0.4706329595134005,0.18078480224229213,0.8192151977577079
24,Sacramento Kings,0.6097560975609756,0.37392550143266473,0.48029380150483697,0.2000573230151906,0.7999426769848094
25,San Antonio Spurs,0.7195121951219512,0.3634408602150538,0.47794263105835805,0.21627906976744185,0.7837209302325582
26,Seattle SuperSonics,0.6341463414634146,0.3651315789473684,0.47411210954214805,0.2807017543859649,0.7192982456140351
27,Toronto Raptors,0.4024390243902439,0.3854848304580607,0.46311557788944724,0.25255408653846156,0.7474459134615384
28,Utah Jazz,0.3170731707317073,0.32808398950131235,0.4654269723776855,0.12093318520869703,0.879066814791303
29,Washington Wizards,0.5487804878048781,0.3431241655540721,0.46299093655589124,0.22048866647041507,0.7795113335295849
